,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,tensorflow/tensorflow,0.6.0,2015-12-09,RELEASE,2012,440338,,,,,,,,,,,,,,,
1,tensorflow/tensorflow,v0.6.0,2016-02-10,RELEASE,2012,440338,,,,,,,,,,,,,,,
2,tensorflow/tensorflow,v0.7.0,2016-02-16,RELEASE,1841,369424,9.0,1057.0,13.0,16051.0,3.0,,,,,,1.0,104.0,5.0,26.0,-1.0
3,tensorflow/tensorflow,v0.7.1,2016-02-19,RELEASE,1842,369585,1.0,34.0,,0.0,1.0,,,,,,1.0,5.0,5.0,36.0,-1.0
4,tensorflow/tensorflow,v0.8.0rc0,2016-04-13,RELEASE,2407,495986,2.0,2116.0,2.0,60.0,2.0,3.0,2120.0,9.0,4805.0,1.0,1.0,828.0,1.0,1.0,-1.0
5,tensorflow/tensorflow,v0.8.0,2016-04-22,RELEASE,2409,496843,2.0,17.0,10.0,50.0,1.0,,,,,,1.0,6.0,1.0,2.0,-1.0
6,tensorflow/tensorflow,v0.9.0rc0,2016-06-05,RELEASE,3461,644601,3.0,1396.0,6.0,755.0,2.0,6.0,1396.0,17.0,2578.0,1.0,1.0,228.0,1.0,13.0,-1.0
7,tensorflow/tensorflow,v0.9.0,2016-06-21,RELEASE,3481,647478,1.0,37.0,1.0,2.0,1.0,,,,,,,,,,
8,tensorflow/tensorflow,v0.10.0rc0,2016-07-29,RELEASE,3905,770820,,,,,,63.0,4130.0,68.0,2350.0,2.0,1.0,326.0,1.0,46.0,-1.0
9,tensorflow/tensorflow,v0.10.0,2016-09-08,RELEASE,4084,808559,2.0,315.0,1.0,6.0,2.0,,,,,,,,,,
10,tensorflow/tensorflow,v0.11.0rc0,2016-09-30,RELEASE,4622,961283,2.0,1729.0,2.0,84.0,1.0,5.0,7993.0,17.0,9655.0,1.0,1.0,218.0,1.0,3.0,-1.0
11,tensorflow/tensorflow,v0.11.0rc1,2016-10-20,RELEASE,4625,961824,2.0,24.0,2.0,2.0,2.0,,,,,,1.0,12.0,1.0,1.0,-1.0
12,tensorflow/tensorflow,v0.11.0rc2,2016-10-31,RELEASE,4625,961839,,,,,,,,,,,,,,,
13,tensorflow/tensorflow,v0.11.0,2016-11-09,RELEASE,4625,961840,,,,,,,,,,,,,,,
14,tensorflow/tensorflow,0.12.0-rc0,2016-11-28,RELEASE,5112,1101699,2.0,2638.0,31.0,2243.0,2.0,60.0,9830.0,61.0,9161.0,2.0,2.0,563.0,11.0,93.0,-1.0
15,tensorflow/tensorflow,0.12.0-rc1,2016-12-09,RELEASE,5114,1102072,,,,,,,,,,,,,,,
16,tensorflow/tensorflow,v0.12.0,2016-12-19,RELEASE,5115,1102621,2.0,8.0,8.0,202.0,1.0,1.0,66.0,1.0,1652.0,1.0,,,,,
17,tensorflow/tensorflow,0.12.1,2016-12-25,RELEASE,5115,1102628,,,,,,,,,,,,,,,
18,tensorflow/tensorflow,v1.0.0-alpha,2017-01-09,RELEASE,5485,1222445,,,,,,61.0,5423.0,69.0,5810.0,2.0,4.0,915.0,4.0,1711.0,-1.0
